Date,Message,Admin,
05/08/2026 18:50,Identity status for User:(6272414), was changed to Pending by m.garcia.,m.garcia
05/08/2026 18:50,KYC status for User:(6272414), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 18:49,Identity status for User:(6594475), was changed to NotVerified by m.garcia.,m.garcia
05/08/2026 18:49,KYC status for User:(6594475), was changed to Approved by m.garcia.,m.garcia
05/08/2026 18:49,Player profile (244972323442 - 6594475) was modified.,m.garcia,
05/08/2026 18:48,Identity status for User:(6325292), was changed to NotVerified by m.garcia.,m.garcia
05/08/2026 18:48,KYC status for User:(6325292), was changed to Approved by m.garcia.,m.garcia
05/08/2026 18:48,Player profile (244938280674 - 6325292) was modified.,m.garcia,
05/08/2026 18:47,Identity status for User:(6444617), was changed to Pending by m.garcia.,m.garcia
05/08/2026 18:47,KYC status for User:(6444617), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 18:46,Identity status for User:(6553473), was changed to Pending by m.garcia.,m.garcia
05/08/2026 18:46,KYC status for User:(6553473), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 18:46,Identity status for User:(6594636), was changed to Pending by m.garcia.,m.garcia
05/08/2026 18:46,KYC status for User:(6594636), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 18:46,KYC status for User:(6595940), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 18:46,Identity status for User:(6595940), was changed to Pending by m.garcia.,m.garcia
05/08/2026 18:46,Identity status for User:(6596999), was changed to Pending by m.garcia.,m.garcia
05/08/2026 18:46,KYC status for User:(6596999), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 18:46,Identity status for User:(6597421), was changed to Pending by m.garcia.,m.garcia
05/08/2026 18:46,KYC status for User:(6597421), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 18:46,Identity status for User:(6597492), was changed to Pending by m.garcia.,m.garcia
05/08/2026 18:46,KYC status for User:(6597492), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 18:46,Identity status for User:(6045988), was changed to Pending by m.garcia.,m.garcia
05/08/2026 18:46,KYC status for User:(6045988), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 17:44,Identity status for User:(6592175), was changed to Pending by m.garcia.,m.garcia
05/08/2026 17:44,KYC status for User:(6592175), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 17:43,Identity status for User:(6592870), was changed to Pending by m.garcia.,m.garcia
05/08/2026 17:43,KYC status for User:(6592870), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 17:43,Identity status for User:(6593502), was changed to Pending by m.garcia.,m.garcia
05/08/2026 17:43,KYC status for User:(6593502), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 17:42,Identity status for User:(6593561), was changed to Pending by m.garcia.,m.garcia
05/08/2026 17:42,KYC status for User:(6593561), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 17:34,Identity status for User:(6593785), was changed to Pending by m.garcia.,m.garcia
05/08/2026 17:34,KYC status for User:(6593785), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 17:34,KYC status for User:(6594131), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 17:34,Identity status for User:(6594131), was changed to Pending by m.garcia.,m.garcia
05/08/2026 17:34,KYC status for User:(6594441), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 17:34,Identity status for User:(6594441), was changed to Pending by m.garcia.,m.garcia
05/08/2026 17:32,Identity status for User:(6591329), was changed to Pending by m.garcia.,m.garcia
05/08/2026 17:32,KYC status for User:(6591329), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 17:31,Identity status for User:(6591299), was changed to Pending by m.garcia.,m.garcia
05/08/2026 17:31,KYC status for User:(6591299), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 17:31,KYC status for User:(6581978), was changed to Rejected by m.garcia.,m.garcia
05/08/2026 17:31,Identity status for User:(6581978), was changed to Pending by m.garcia.,m.garcia
05/08/2026 17:23,Identity status for User:(6047716), was changed to Pending by m.garcia.,m.garcia
